BRP6;6;BasicPreposition;rm;sper;sper;
BRP7;7;BasicPreposition;rm;sur;sur;
BRP8;8;BasicPreposition;rm;tier;tier;
BRP9;9;BasicPreposition;rm;tras;tras;
BSP0;0;BasicPreposition;es;a;a;
BSP1;1;BasicPreposition;es;ante;ante;
BSP10;10;BasicPreposition;es;hasta;hasta;
BSP11;11;BasicPreposition;es;para;para;
BSP12;12;BasicPreposition;es;por;por;
BSP13;13;BasicPreposition;es;según;según;
BSP14;14;BasicPreposition;es;sin;sin;
BSP15;15;BasicPreposition;es;sobre;sobre;
BSP16;16;BasicPreposition;es;tras;tras;
BSP17;17;BasicPreposition;es;debajoDe;debajoDe;
BSP18;18;BasicPreposition;es;encimaDe;encimaDe;
BSP19;19;BasicPreposition;es;alrededorDe;alrededorDe;
BSP2;2;BasicPreposition;es;bajo;bajo;
BSP20;20;BasicPreposition;es;detrásDe;detrásDe;
BSP21;21;BasicPreposition;es;delanteDe;delanteDe;
BSP22;22;BasicPreposition;es;dentroDe;dentroDe;
BSP23;23;BasicPreposition;es;fueraDe;fueraDe;
BSP24;24;BasicPreposition;es;cercaDe;cercaDe;
BSP25;25;BasicPreposition;es;lejosDe;lejosDe;
BSP26;26;BasicPreposition;es;alLadoDe;alLadoDe;
BSP27;27;BasicPreposition;es;aTravésDe;aTravésDe;
BSP28;28;BasicPreposition;es;antesDe;antesDe;
BSP29;29;BasicPreposition;es;despuésDe;despuésDe;
BSP3;3;BasicPreposition;es;con;con;
BSP30;30;BasicPreposition;es;aPesarDe;aPesarDe;
BSP31;31;BasicPreposition;es;como;como;
BSP4;4;BasicPreposition;es;contra;contra;
BSP5;5;BasicPreposition;es;de;de;
BSP6;6;BasicPreposition;es;desde;desde;
BSP7;7;BasicPreposition;es;en;en;
BSP8;8;BasicPreposition;es;entre;entre;
BSP9;9;BasicPreposition;es;hacia;hacia;
CAS0;0;Case;;nominative;nom;
CAS1;1;Case;;accusative;acc;
CAS10;10;Case;it;impersonalClitic;impersonalClitic;
CAS2;2;Case;;dative;dat;
CAS3;3;Case;;genitive;gen;
CAS4;4;Case;;locative;locative;
CAS5;5;Case;;distributive;distributive;
CAS6;6;Case;;vocative;vocative;
CAS7;7;Case;;ablative;ablative;
CAS8;8;Case;it;reflexiveClitic;reflexiveClitic;
CAS9;9;Case;it;partitiveClitic;partitiveClitic;
CAT0;0;Category;;N;N;
CAT1;1;Category;;V;V;
CAT11;11;Category;es,fr,it,pt;clitic;clitic;
CAT13;13;Category;fr,de,it.pt;other;other;autre catégorie
CAT14;14;Category;;CompoundChunk;*;non-mot: marque une partie initiale d'un mot composé
CAT15;15;Category;;prefix;Prefix;for non words only
CAT16;16;Category;;suffix;Suffix;for non words only
CAT17;17;Category;HIDDEN;locution;Locution;for non words only
CAT18;18;Category;sn;symbol;symbol;Snomed CT
CAT2;2;Category;;Adj;Adj;
CAT3;3;Category;;Prep;Prep;
CAT4;4;Category;;Det;Det;
CAT5;5;Category;;Adv;Adv;
CAT6;6;Category;;Conj;Conj;
CAT7;7;Category;;Interj;Interj;
CET13;13;Category;en;Poss;Poss;possessive marker
CFD0;0;ContractedDetType;fr;deDet;de;
CFD1;1;ContractedDetType;fr;duDet;du;
CFD2;2;ContractedDetType;fr;desDet;des;
CFD3;3;ContractedDetType;fr;auDet;au;
CFD4;4;ContractedDetType;fr;auxDet;aux;
CFF0;0;CliticFeature;fr;clMoi;Moi;
CFF1;1;CliticFeature;fr;clOne;One;
CFF2;2;CliticFeature;fr;clTwo;Two;
CFF3;3;CliticFeature;fr;indirObjInter;indirObjInter;lui dans "il vous les lui fait donner"
CFF4;4;CliticFeature;fr;subjInter;subjInter;il se fait se raser (subject interpr.)
CFI1;17;CliticFeature;it;italianLocClitic;italianLocClitic;
CFI2;18;CliticFeature;it;italianReflClitic;italianReflClitic;
CFI3;19;CliticFeature;it;italianPassiveClitic;italianPassiveClitic;
CFI4;20;CliticFeature;it;italianGenitiveClitic;italianGenitiveClitic;
CFI5;21;CliticFeature;it;italianPartitiveClitic;italianPartitiveClitic;
CFT10;10;CliticType;fr;enCl;en;
CFT11;11;CliticType;fr;yCl;y;
CFT12;12;CliticType;fr;leCl;le;
CFT13;13;CliticType;fr;luiCl;lui;
CFT14;14;CliticType;fr;seCl;se;
CID0;0;ContractedDetType;it;alDetST;al;
CID1;1;ContractedDetType;it;alloDetST;allo;
CID10;10;ContractedDetType;it;coiDetST;coi;
CID11;11;ContractedDetType;it;cogliDetST;cogli;
CID12;12;ContractedDetType;it;collaDetST;colla;
CID13;13;ContractedDetType;it;colleDetST;colle;
CID14;14;ContractedDetType;it;dalDetST;dal;
CID15;15;ContractedDetType;it;dalloDetST;dallo;
CID16;16;ContractedDetType;it;dallDetST;dall;
CID17;17;ContractedDetType;it;daiDetST;dai;
CID18;18;ContractedDetType;it;dagliDetST;dagli;
CID19;19;ContractedDetType;it;dallaDetST;dalla;
CID2;2;ContractedDetType;it;allDetST;all;
CID20;20;ContractedDetType;it;dalleDetST;dalle;
CID21;21;ContractedDetType;it;delDetST;del;
CID22;22;ContractedDetType;it;delloDetST;dello;
CID23;23;ContractedDetType;it;dellDetST;dell;
CID24;24;ContractedDetType;it;deiDetST;dei;
CID25;25;ContractedDetType;it;degliDetST;degli;
CID26;26;ContractedDetType;it;dellaDetST;della;
CID27;27;ContractedDetType;it;delleDetST;delle;
CID28;28;ContractedDetType;it;nelDetST;nel;
CID29;29;ContractedDetType;it;nelloDetST;nello;
CID3;3;ContractedDetType;it;aiDetST;ai;
CID30;30;ContractedDetType;it;nellDetST;nell;
CID31;31;ContractedDetType;it;neiDetST;nei;
CID32;32;ContractedDetType;it;negliDetST;negli;
CID33;33;ContractedDetType;it;nellaDetST;nella;
CID34;34;ContractedDetType;it;nelleDetST;nelle;
CID35;35;ContractedDetType;it;sulDetST;sul;
CID36;36;ContractedDetType;it;sulloDetST;sullo;
CID37;37;ContractedDetType;it;sullDetST;sull;
CID38;38;ContractedDetType;it;suiDetST;sui;
CID39;39;ContractedDetType;it;sugliDetST;sugli;
CID4;4;ContractedDetType;it;agliDetST;agli;
CID40;40;ContractedDetType;it;sullaDetST;sulla;
